Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index
ALGERIA,01/01/2000,2.242234883,70.7292,10.0,27.22428571,-10.028534,,,,,,,,0.38070245766868877
ALGERIA,01/02/2000,2.426636569,72.4357,10.0,29.36238095,-8.6818619,27.22428571,,-10.028534,0.0785363209443044,,,,0.3324367054410173
ALGERIA,01/03/2000,1.660757604,73.4741,10.0,29.89217391,5.9956293,29.36238095,27.22428571,-8.6818619,0.018043256127701746,,,,0.052577298201331384
ALGERIA,01/04/2000,0.924353895,76.0025,10.0,25.799,9.0814292,29.89217391,29.36238095,5.9956293,-0.13693128918371134,28.826280190000002,-4.238255533333334,1.412430486990154,-0.005799913260901907
ALGERIA,01/05/2000,-0.485799701,75.2502,10.0,28.83347826,5.0961241,25.799,29.89217391,9.0814292,0.11761999534865697,28.35118495333333,2.1317322000000005,2.226074161417853,0.07161915011730047
ALGERIA,01/06/2000,-1.184655886,73.9423,10.0,31.85909091,3.8662729,28.83347826,25.799,5.0961241,0.10493401533859892,28.174884056666667,6.7243942,2.1245771127154645,0.08695370177102325
ALGERIA,01/07/2000,-0.613732259,75.5222,10.0,29.98380952,5.5522845,31.85909091,28.83347826,3.8662729,-0.05886173573808351,28.830523056666667,6.014608733333334,3.030046535828487,0.06070536499729971
ALGERIA,01/08/2000,0.0,77.1946,10.0,31.21869565,7.0091904,29.98380952,31.85909091,5.5522845,0.041185097883452704,30.22545956333333,4.838227166666667,1.5272128321037168,0.03227042644362893
ALGERIA,01/09/2000,-0.973053892,77.9353,10.0,33.86,11.014364,31.21869565,29.98380952,7.0091904,0.08460649284045285,31.020532026666668,5.475915933333333,0.9532164964631729,-0.0363999852670483
ALGERIA,01/10/2000,-0.395629239,80.3716,10.0,33.075,12.28592,33.86,31.21869565,11.014364,-0.02318369757826333,31.68750172333333,7.858612966666667,1.9801635059020528,-0.05889135377408157
ALGERIA,01/11/2000,0.280583614,79.1216,10.0,34.555,11.586466,33.075,33.86,12.28592,0.04474678760393047,32.71789855,10.103158133333336,1.3563787271725714,-0.04473959520828153
ALGERIA,01/12/2000,0.129008478,75.3428,10.0,28.38809524,4.7371125,34.555,33.075,11.586466,-0.17846635103458264,33.830000000000005,11.628916666666669,0.7404559406203352,0.07957076029450384
ALGERIA,01/01/2001,-1.132482473,75.4064,9.5,29.48217391,1.6245394,28.38809524,34.555,4.7371125,0.038540052115169754,32.00603174666667,9.5364995,3.219425169918315,0.13602613554155776
ALGERIA,01/02/2001,-0.238751148,75.8578,9.5,29.5835,-4.1514756,29.48217391,28.38809524,1.6245394,0.0034368595175280348,30.80842305,5.982705966666668,3.290422642418566,0.244700736060712
ALGERIA,01/03/2001,0.825991189,78.1552,9.5,27.24136364,-2.4977829,29.5835,29.48217391,-4.1514756,-0.07917036050501125,29.151256383333333,0.7367254333333338,0.6628558984795839,0.22837028691178737
ALGERIA,01/04/2001,2.242990654,77.5592,9.5,27.45380952,-6.7855505,27.24136364,29.5835,-2.4977829,0.007798650713947808,28.769012516666667,-1.6749063666666661,1.323952439445809,0.31313595709958747
ALGERIA,01/05/2001,5.257228689,79.9087,9.5,28.61043478,-6.503613,27.45380952,27.24136364,-6.7855505,0.04212986395048013,28.092891053333332,-4.478269666666666,1.2952681525052823,0.2975071239210835
ALGERIA,01/06/2001,6.546146527,80.1749,9.5,27.60095238,-11.589215,28.61043478,27.45380952,-6.503613,-0.03528371406315267,27.76853598,-5.262315466666666,0.7368028943099424,0.4079256220928009
ALGERIA,01/07/2001,6.310304902,78.433,9.5,26.43590909,-24.429818,27.60095238,28.61043478,-11.589215,-0.04221025687665059,27.88839889333333,-8.292792833333332,0.6296146611526079,0.6865518426519587
ALGERIA,01/08/2001,5.346270928,76.1182,9.5,27.46782609,-45.096526,26.43590909,27.60095238,-24.429818,0.039034670473668154,27.54909875,-14.174215333333334,1.0881898241234509,1.0821638008815684
ALGERIA,01/09/2001,5.272108844,76.3439,9.5,26.211,-48.959744,27.46782609,26.43590909,-45.096526,-0.045756299966438374,27.168229186666665,-27.038519666666662,0.6376913009120664,1.2005870582844467
ALGERIA,01/10/2001,5.920181577,76.7258,9.5,22.21043478,-53.612736,26.211,27.46782609,-48.959744,-0.15262924802563804,26.704911726666666,-39.495362666666665,0.6702050201443124,1.4378424314287144
ALGERIA,01/11/2001,7.274762171,77.7791,9.5,19.58409091,-58.295916,22.21043478,26.211,-53.612736,-0.11824819712061485,25.29642029,-49.223002,2.7454294529406447,1.6449140767039847
ALGERIA,01/12/2001,7.546475244,77.8196,9.5,19.31761905,-56.33303,19.58409091,22.21043478,-58.295916,-0.013606547336028396,22.668508563333333,-53.622798666666675,3.337117725675049,1.6065658435045893
ALGERIA,01/01/2002,6.218181818,79.1795,9.5,19.6073913,-49.558033,19.31761905,19.58409091,-56.33303,0.015000412279069009,20.370714913333334,-56.08056066666666,1.598805399008766,1.4299493479465086
ALGERIA,01/02/2002,6.296023564,79.6429,8.5,20.7755,-46.491956,19.6073913,19.31761905,-49.558033,0.05957491652650404,19.503033753333334,-54.728993,0.1609959198344113,1.3184718149912724
ALGERIA,01/03/2002,4.423812125,80.2144,8.5,24.50809524,-36.225424,20.7755,19.6073913,-46.491956,0.17966331688768022,19.90017011666667,-50.794339666666666,0.771779627037671,0.9790791289076388
ALGERIA,01/04/2002,3.10786106,80.1333,8.5,26.26636364,-35.384784,24.50809524,20.7755,-36.225424,0.07174235218126257,21.630328846666668,-44.09180433333333,2.5597410112555385,0.9170691764892429
ALGERIA,01/05/2002,0.410274706,80.0146,8.5,27.00391304,-39.50013,26.26636364,24.50809524,-35.384784,0.028079615820014503,23.849986293333334,-39.367388,2.803966194077774,0.9824208969786966
ALGERIA,01/06/2002,-0.89301661,79.9082,8.5,25.521,-43.13644,27.00391304,26.26636364,-39.50013,-0.05491474653334161,25.926123973333333,-37.036779333333335,1.2822241987186411,1.09972844910278
ALGERIA,01/07/2002,0.145216918,79.9321,8.5,26.93,-43.897556,25.521,27.00391304,-43.13644,0.05520943536695255,26.263758893333332,-39.340451333333334,0.7414599514334952,1.0740466532357367
ALGERIA,01/08/2002,0.072241286,79.9291,8.5,28.38136364,-42.600532,26.93,25.521,-43.897556,0.05389393390271069,26.484971013333336,-42.178042,0.835640993657578,1.005620812986604
ALGERIA,01/09/2002,0.305151678,79.9142,8.5,29.63285714,-26.07825,28.38136364,26.93,-42.600532,0.044095608508259776,26.944121213333336,-43.21150933333333,1.4302341048787583,0.6578343211523582
ALGERIA,01/10/2002,-0.392857143,79.8904,8.5,28.85391304,-11.737235,29.63285714,28.38136364,-26.07825,-0.026286500026639015,28.314740259999997,-37.525446,1.352659671123704,0.39639898071823504
ALGERIA,01/11/2002,-0.660754651,79.0904,8.5,26.3247619,-5.007103,28.85391304,29.63285714,-11.737235,-0.08765366196584334,28.956044606666666,-26.805339,0.631966880317439,0.28619455106185254
ALGERIA,01/12/2002,-1.540304638,79.7234,8.5,29.54863636,8.1940127,26.3247619,28.85391304,-5.007103,0.12246547460700885,28.270510693333332,-14.274196000000002,1.7294919059654688,0.01155943728323057
ALGERIA,01/01/2003,-2.139678192,79.6407,8.5,32.91173913,9.5889971,29.54863636,26.3247619,8.1940127,0.11381583667775064,28.2424371,-2.8501084333333337,1.6966934762530066,-0.013330015026838306
ALGERIA,01/02/2003,-0.779355733,79.6638,8.5,35.915,8.0225415,32.91173913,29.54863636,9.5889971,0.09125196508568689,29.595045796666668,4.2586356,3.293733843830379,0.011995756619519777
ALGERIA,01/03/2003,-1.046025105,79.6399,8.5,33.21904762,18.023601,35.915,32.91173913,8.0225415,-0.07506480245022973,32.79179183,8.601850433333333,3.1848762951269562,-0.15522852320721714
ALGERIA,01/04/2003,0.904255319,79.5808,8.0,28.35772727,29.518347,33.21904762,35.915,18.023601,-0.1463413522750474,34.01526225,11.878379866666668,1.6523807872545344,-0.405468078715345
ALGERIA,01/05/2003,3.091135193,79.3776,8.0,28.22363636,37.630001,28.35772727,33.21904762,29.518347,-0.0047285492494970605,32.497258296666665,18.521496499999998,3.829990554734962,-0.5664343230975589
ALGERIA,01/06/2003,4.739592719,78.3783,8.0,30.7247619,33.33657,28.22363636,28.35772727,37.630001,0.08861811809426245,29.933470416666665,28.390649666666665,2.846183104147392,-0.447529806512482
ALGERIA,01/07/2003,2.95450426,77.7398,8.0,30.7473913,35.764719,30.7247619,28.22363636,33.33657,0.0007365199467990191,29.102041843333335,33.49497266666666,1.4069151999205733,-0.4914840009995766
ALGERIA,01/08/2003,4.060638874,77.8563,8.0,31.59190476,39.696449,30.7473913,30.7247619,35.764719,0.0274661824725273,29.89859652,35.57709666666667,1.4506021768998847,-0.5484783168988043
ALGERIA,01/09/2003,4.885468862,77.0962,8.0,28.45136364,46.996786,31.59190476,30.7473913,39.696449,-0.09940967927886346,31.021352653333334,36.26591266666667,0.49424214940914973,-0.7456068000342263
ALGERIA,01/10/2003,5.485837218,75.8277,8.0,30.33086957,99.757837,28.45136364,31.59190476,46.996786,0.06606031098479881,30.26355323333333,40.819318,1.625215089663421,-1.679440581099396
ALGERIA,01/11/2003,5.233677577,69.4576,8.0,30.9625,101.93943,30.33086957,28.45136364,99.757837,0.02082467265049126,30.124712656666663,62.150357333333325,1.5803876538018211,-1.6866134977812075
ALGERIA,01/12/2003,3.945767426,72.6128,8.0,32.20434783,109.94607,30.9625,30.33086957,101.93943,0.04010812531287855,29.914911070000002,82.89801766666666,1.3062226303047912,-1.7609154914553404
