Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index
ALGERIA,01/01/2003,-2.139678192,79.6407,8.5,32.91173913,9.5889971,19.6073913,29.48217391,-49.558033,0.6785373753417163,25.437950306666664,-19.320675866666665,5.174077553399365,-0.013330015026838326
ALGERIA,01/01/2004,6.209550464,71.5743,8.0,34.14636364,122.30401,32.91173913,19.6073913,9.5889971,0.03751319567535716,27.33376811333333,-12.781498833333336,6.907470839299261,-1.8520132557424382
ALGERIA,01/01/2005,2.947957839,72.7691,8.0,46.99190476,106.53731,34.14636364,32.91173913,122.30401,0.3761906027660402,28.88849802333333,27.444991366666667,8.061344858496042,-0.8881286581234027
ALGERIA,01/01/2006,0.626118068,72.7956,8.0,65.23272727,35.778229,46.99190476,34.14636364,106.53731,0.38816946457396595,38.01666917666667,79.47677236666668,7.797256873569238,0.031812536946723806
ALGERIA,01/01/2007,2.373333333,71.6075,8.0,54.78,103.66678,65.23272727,46.99190476,35.778229,-0.16023747139585132,48.79033189,88.20651633333334,15.62101968632607,-0.44621614333082965
ALGERIA,01/01/2008,4.53243032,66.597,8.0,92.9826087,148.9009,54.78,65.23272727,103.66678,0.6973824151150054,55.66821067666666,81.99410633333333,9.152791383776814,2.353383675133412
ALGERIA,01/01/2009,5.473876568,71.8513,8.0,41.63090909,-55.949758,92.9826087,54.78,148.9009,-0.5522720896730444,70.99844532333333,96.115303,19.743162268852206,0.7838510449676029
ALGERIA,01/01/2010,5.150417389,73.4862,8.0,78.41857143,68.763267,41.63090909,92.9826087,-55.949758,0.8836622390462432,63.131172596666666,65.53930733333334,26.675003767823643,0.5157015804576996
ALGERIA,01/01/2011,3.572498502,72.7908,8.0,89.52380952,-12.506343,78.41857143,41.63090909,68.763267,0.14161489921954318,71.01069640666667,53.904802999999994,26.465198326857724,-0.31651525957030174
ALGERIA,01/01/2012,7.534890448,75.3444,8.0,100.1022727,-43.318537,89.52380952,78.41857143,-12.506343,0.11816368446247516,69.85776334666667,0.10238866666666564,25.06786895967071,-1.0844775052551159
ALGERIA,01/01/2013,7.813865914,77.4235,8.0,94.72956522,-72.902577,100.1022727,89.52380952,-43.318537,-0.05367218280949182,89.34821788333333,4.312795666666666,10.842917020285629,-1.452907935035862
ALGERIA,01/01/2014,0.667373542,78.0067,8.0,94.96304348,-7.6902796,94.72956522,100.1022727,-72.902577,0.0024646820605347397,94.78521581333332,-42.90915233333333,5.289451158112423,-0.2954899414515634
ALGERIA,01/01/2015,4.653035936,88.1742,8.0,47.55727273,-76.273874,94.96304348,94.72956522,-7.6902796,-0.49920231084405,96.59829380000001,-41.30379786666666,3.0367793998257664,0.7460763125556304
ALGERIA,01/01/2016,5.038186016,107.3252,8.0,31.78428571,-138.4775,47.55727273,94.96304348,-76.273874,-0.3316629847457614,79.08329381,-52.288910200000004,27.30258471055307,2.599101974150875
ALGERIA,01/01/2017,8.071243377,109.6906,8.0,52.56181818,-53.580036,31.78428571,47.55727273,-138.4775,0.6537045588997761,58.101533973333325,-74.14721786666667,32.8827453570384,0.3713421334557651
ALGERIA,01/01/2018,3.572546156,113.4278,8.0,63.58478261,-22.282415,52.56181818,31.78428571,-53.580036,0.20971429093741434,43.96779220666667,-89.44380333333334,10.843880380473568,-0.007830624369438937
ALGERIA,01/01/2019,2.593282643,117.9972,8.0,51.2273913,-37.313544,63.58478261,52.56181818,-22.282415,-0.1943451059004886,49.3102955,-71.44665033333332,16.147668580189663,0.30915689607864355
ALGERIA,01/01/2020,1.924020811,119.9661,8.0,57.71695652,-79.506048,51.2273913,63.58478261,-37.313544,0.12668154780702245,55.79133069666667,-37.72533166666667,6.782226280403576,0.2694220037963102
ALGERIA,01/01/2021,4.23288067,132.9188,8.0,51.84952381,7.2419723,57.71695652,51.2273913,-79.506048,-0.10165873365077416,57.509710143333336,-46.36733566666667,6.181301909193401,0.009933238400235446
ALGERIA,01/01/2022,9.032109032,140.3482,8.0,83.27761905,7.9725682,51.84952381,57.71695652,7.2419723,0.6061404798078125,53.597957210000004,-36.525873233333336,3.5806952819021376,-0.009441542629345103
ALGERIA,01/01/2023,9.313559322,135.7745,8.0,78.25136364,-62.295751,83.27761905,51.84952381,7.9725682,-0.0603554168255247,64.28136646,-21.430502500000003,16.710772004874773,-0.6048551241172581
ALGERIA,01/02/2000,2.426636569,72.4357,10.0,29.36238095,-8.6818619,78.25136364,83.27761905,-62.295751,-0.6247684438435686,71.12616883333334,-15.69373683333333,16.88216791109306,0.33243670544101694
